step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
7,DEBIT,3354.125064441953,C6884329978,469784.2945125829,5256.612270826744,M1702727469,120498.12899795898,364235.47277929605,0
4,CASH_OUT,7882.522579370038,C1117769333,377566.80872259795,380944.947188742,M7724215943,468062.7857700673,26.413466148400566,0
8,CASH_OUT,19391.30521447222,C3258347927,293311.9591418313,446652.24689406133,M7459257252,260080.11151219785,476960.40192336106,1
5,CASH_OUT,5236.855310752438,C3773434374,414219.3354694954,216419.96052858615,M9647975259,182409.04815392845,407104.3835273315,1
7,PAYMENT,13169.059624371715,C5065806894,40093.37840605665,267771.2365488991,M4816688800,436695.72895460966,451990.84829464264,0
3,DEBIT,6571.282278071428,C3221526217,238419.43886656218,238491.69630882688,M2469679392,197495.13527451624,7821.647653717067,0
7,TRANSFER,15492.115201163353,C7854719882,315046.5634308317,194604.3093117194,M3413548748,167504.2849788479,466929.3978928697,0
8,PAYMENT,2704.3858482951614,C1434908016,414326.4530591446,443712.2676851801,M2351042745,103641.26127486778,404894.26434405235,0
5,CASH_OUT,19399.43879706304,C8933403711,391734.78002463386,446966.7553349952,M1362370244,188898.41195470575,418609.5714793493,1
4,PAYMENT,9130.411873534422,C3280994183,138534.6248566998,167908.18232076726,M8237046021,158342.178008463,46643.692360984256,0
8,CASH_OUT,4797.4042205946325,C8910141615,470440.0847796021,307534.877007349,M2546155660,338651.97964907053,369389.01445929887,1
8,CASH_OUT,1562.5852718672518,C1452084766,62172.920715435175,463453.78107293206,M1329524499,144791.35233536357,479958.34482104547,0
3,PAYMENT,3478.1823112420607,C5174816689,437566.80931057606,481029.2494706758,M2830934766,288599.87321128073,339273.6707090803,1
6,DEBIT,10443.50157626475,C1981343133,485470.12480230926,254479.52021102377,M7194783623,32946.08251598635,285280.70231230324,1
5,CASH_OUT,6806.363210982598,C9270549354,88576.76161131279,226412.4026421634,M8166886856,95644.57834825719,472814.8388744985,1
2,DEBIT,16594.77898106393,C6993344562,361033.03210189263,139347.15796426288,M2354703080,203702.6358056744,221468.560867218,1
8,TRANSFER,8674.661720869939,C6640177925,20142.75938899923,479435.936595205,M2019994800,468474.6269543477,299646.78315523936,1
6,CASH_OUT,5049.414024493835,C5853518249,202711.4125695775,71407.15223643369,M5204427480,188625.9928578477,238169.14674718308,0
2,DEBIT,12381.185233420198,C4588360313,258141.64959883702,289914.7880238625,M6442834595,332037.0605999171,466423.1106801496,0
5,DEBIT,14164.866616020372,C2590842916,290322.612954817,141275.13375931943,M5700401357,127543.61121069908,38042.36338275363,1
1,TRANSFER,3424.1339672289023,C6904736379,467968.62412427977,139504.14517389832,M8150338827,63516.78798661586,250559.8504126741,0
6,DEBIT,3435.6224041375217,C3035842082,336125.34364709735,202484.29368809424,M3886302899,29268.300040025064,343476.22069271916,0
9,DEBIT,829.7613959775051,C1378823452,240638.9756096185,499396.4679078273,M7073648604,152706.74927137568,395953.26921111846,0
1,TRANSFER,14754.400099806246,C3606518330,404837.51813294465,27483.153419911032,M2152126521,78830.51339845399,291509.32372206816,0
3,CASH_OUT,13309.710099673921,C5169305823,475266.4104772045,289270.9091017657,M5292116671,87005.2240080621,454458.872060727,0
7,DEBIT,9545.154427421296,C3052472296,11033.07434114542,41286.079017638585,M7213888573,380379.654193475,470995.72344193584,0
4,DEBIT,16898.99193448702,C3286028684,491260.63612801937,77260.41499525949,M4949801825,7919.035472437108,32159.61159679176,0
